timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-08T00:00:00.000Z";"2025-04-08T23:59:59.999Z";"2025-04-08T14:11:00.000Z";"2025-04-08T22:40:00.000Z";"2781";0.5854354958;0.6166573107;0.5544250083;0.5578880304;1249643862.18;19678460290.64;"2025-04-08T23:59:59.999Z"
"2025-04-07T00:00:00.000Z";"2025-04-07T23:59:59.999Z";"2025-04-07T14:20:00.000Z";"2025-04-07T07:02:00.000Z";"2781";0.5728031821;0.5966191298;0.5162256969;0.5854307629;1985606962.77;20650841090.1;"2025-04-07T23:59:59.999Z"
"2025-04-06T00:00:00.000Z";"2025-04-06T23:59:59.999Z";"2025-04-06T00:01:00.000Z";"2025-04-06T23:25:00.000Z";"2781";0.6546714446;0.6547629838;0.561787214;0.5727925472;943427755.5;20205244769.87;"2025-04-06T23:59:59.999Z"
"2025-04-05T00:00:00.000Z";"2025-04-05T23:59:59.999Z";"2025-04-05T01:34:00.000Z";"2025-04-05T15:47:00.000Z";"2781";0.6604359717;0.6664018227;0.6457550162;0.6546713864;403628594.17;23093092347.8;"2025-04-05T23:59:59.999Z"
"2025-04-04T00:00:00.000Z";"2025-04-04T23:59:59.999Z";"2025-04-04T15:32:00.000Z";"2025-04-04T11:46:00.000Z";"2781";0.6500625625;0.6685307631;0.6296857425;0.6604493076;934938980.74;23296432143.56;"2025-04-04T23:59:59.999Z"
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T05:08:00.000Z";"2025-04-03T15:01:00.000Z";"2781";0.6416021718;0.6562400507;0.6152230178;0.6500590649;873870075.97;22926413978.21;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:19:00.000Z";"2025-04-02T23:05:00.000Z";"2781";0.6776475555;0.7056294702;0.6371784493;0.6416388461;969234907.97;22628032820.75;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T15:58:00.000Z";"2025-04-01T01:14:00.000Z";"2781";0.6614457423;0.6926290791;0.6591146109;0.6776547583;688019564.39;23899281832.71;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T18:45:00.000Z";"2025-03-31T10:13:00.000Z";"2781";0.6606965257;0.6637222894;0.6312101709;0.6614465486;754677194.89;23327876095.8;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T09:02:00.000Z";"2025-03-30T22:10:00.000Z";"2781";0.6739094334;0.6867223603;0.6520985433;0.6607084103;489882248.66;23301452717.72;"2025-03-30T23:59:59.999Z"
